sub_industry,industry,sector
Chemicals & Allied Products,Chemical Manufacturing,Manufacturing
Chemists' & Pharmacists' Suppliers & Wholesalers,Wholesale Drugs and Sundries,Wholesale
Chicken,Food and Beverage Manufacturing,Manufacturing
Chicken Deboning Machine,Machinery Manufacturing,Manufacturing
Childcare Services,Individual and Family Services,Hospitals and Health Care
Children's Activity Centres,Recreational Facilities,Entertainment Providers
Children's Homes,Individual and Family Services,Hospitals and Health Care
Children's Party Services,Events Services,Administrative and Support Services
Childrens & Young Adults Respite Care,Nursing Homes and Residential Care Facilities,Hospitals and Health Care
Childrens And Babies Clothes Shops,Retail Apparel and Fashion,Retail
Childrens Entertainers,Performing Arts and Spectator Sports,Entertainment Providers
Childrens Products & Innovation,Research Services,Professional Services
Chilled Courier Distribution,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Chimney Inspection & Maintenance,Repair and Maintenance,Consumer Services
Chimney Lining & Inspection Services,Specialty Trade Contractors,Construction
Chimney Sweep,Repair and Maintenance,Consumer Services
China & Glassware Manufacturers & Repairs,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
China & Glassware Shops,Retail Furniture and Home Furnishings,Retail
Chinese Restaurants,Food and Beverage Services,Accommodation Services
Chiropodists (Podiatrists),Medical Practices,Hospitals and Health Care
Chiropractic Care & Health,Medical Practices,Hospitals and Health Care
Christmas Goods & Trees,Retail Office Supplies and Gifts,Retail
Chrome Plated Bar,Primary Metal Manufacturing,Manufacturing
Cider Makers,Food and Beverage Manufacturing,Manufacturing
Cinema Equipment,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Cinemas/theatres,Performing Arts and Spectator Sports,Entertainment Providers
Circular Distribution Services,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Circular Economy Models,Environmental Quality Programs,Government Administration
Civil Engineers,Civil Engineering,Construction
Civil Litigation,Legal Services,Professional Services
Ciwm Approved Training,Professional Training and Coaching,Education
Cladding Suppliers & Installers,Building Construction,Construction
Claims Management,Insurance,Financial Services
Claims/insurance Investigators,Security and Investigations,Administrative and Support Services
Clairvoyants & Psychics,Individual and Family Services,Hospitals and Health Care
Classic Bar Hire,Events Services,Administrative and Support Services
Classic Caddies,Transportation Equipment Manufacturing,Manufacturing
Classic Car Specialists,Repair and Maintenance,Consumer Services
Classic Cocktails,Food and Beverage Services,Accommodation Services
Clay & Clay Products,"Glass, Ceramics and Concrete Manufacturing",Manufacturing
Clay Pigeon Shooting,Recreational Facilities,Entertainment Providers
Clean Energy,Services for Renewable Energy,Professional Services
Clean Products,Chemical Manufacturing,Manufacturing
Clean Technology,Climate Technology Products Manufacturing,Manufacturing
Cleaning Leather Goods,Personal and Laundry Services,Consumer Services
Cleaning Materials & Equipment,Wholesale Chemical and Allied Products,Wholesale
Cleaning Services - Domestic,Household Services,Consumer Services
Cleantech,Climate Technology Products Manufacturing,Manufacturing
Clearing & Forwarding,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Click Fraud Prevention,IT Services and IT Consulting,Professional Services
Client Communciation,Business Consulting and Services,Professional Services
Climate Change Policy,Public Policy Offices,Government Administration
Climate Control,Environmental Quality Programs,Government Administration
Cling Film,Plastics and Rubber Product Manufacturing,Manufacturing
Clinical Pathology,Medical Practices,Hospitals and Health Care
Clinical Research,Research Services,Professional Services
Clinical Support,Medical Practices,Hospitals and Health Care
Clinical Trials,Research Services,Professional Services
Clinical Waste Management,Environmental Quality Programs,Government Administration
Clinics,Medical Practices,Hospitals and Health Care
Clocks & Watches - Manufacturers & Wholesalers,Wholesale Luxury Goods and Jewelry,Wholesale
Clothes,Retail Apparel and Fashion,Retail
Clothing,Retail Apparel and Fashion,Retail
Clothing & Fabrics - Importers & Exporters,Wholesale Apparel and Sewing Supplies,Wholesale
Clothing & Fabrics Manufacturers,Apparel Manufacturing,Manufacturing
Clothing Accessory Manufacturers,Apparel Manufacturing,Manufacturing
Clothing Repairs & Alteration Service,Personal and Laundry Services,Consumer Services
Cloud Kitchen,Food and Beverage Services,Accommodation Services
Club & Event Djs,Performing Arts and Spectator Sports,Entertainment Providers
Clubs & Associations,Civic and Social Organizations,Consumer Services
Coach Hire,Ground Passenger Transportation,"Transportation, Logistics, Supply Chain and Storage"
Coach Holidays,Travel Arrangements,Administrative and Support Services
Coaching,Professional Training and Coaching,Education
Coaching Mentoring,Professional Training and Coaching,Education
Coal & Smokeless Fuel Merchants & Distributors,Wholesale Petroleum and Petroleum Products,Wholesale
Coal Mining,Mining,"Oil, Gas, and Mining"
Coat Hangers,Apparel Manufacturing,Manufacturing
Coating & Painting Inspection,Engineering Services,Professional Services
Coating Specialists,Specialty Trade Contractors,Construction
Cocktail Bartending,Food and Beverage Services,Accommodation Services
Coffee,Food and Beverage Retail,Retail
Coffee & Coffee Equipment,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Coffee Blending,Food and Beverage Manufacturing,Manufacturing
Coffee Brewing Equipment & Supplies,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Coffee Roasters,Food and Beverage Manufacturing,Manufacturing
Coffee Roasting,Food and Beverage Manufacturing,Manufacturing
Coffee Vending,Food and Beverage Retail,Retail
Coffin Manufacturers,Wood Product Manufacturing,Manufacturing
Coin Investment,Capital Markets,Financial Services
Coins,Funds and Trusts,Financial Services
Coins & Medals,Retail Luxury Goods and Jewelry,Retail
Cold Chain Monitoring,IT Services and IT Consulting,Professional Services
Collector Car Valuation,Insurance,Financial Services
Collectors' Items,Retail Art Dealers,Retail
Colonic Hydrotherapy,Medical Practices,Hospitals and Health Care
Colorings,Chemical Manufacturing,Manufacturing
Colostrum Replacers,Farming,"Farming, Ranching, Forestry"
Colour Manufacturers & Suppliers,Chemical Manufacturing,Manufacturing
Combat Games/fighting Games,Performing Arts and Spectator Sports,Entertainment Providers
Comics & Magazine Suppliers,Retail Books and Printed News,Retail
Commercial Catering Appliances & Commercial Kitchen Refitting,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Commercial Cleaning Services,Facilities Services,Administrative and Support Services
Commercial Coffee Machines,"Retail Appliances, Electrical, and Electronic Equipment",Retail
Commercial Decorators,Specialty Trade Contractors,Construction
Commercial Energy Assessors,Engineering Services,Professional Services
Commercial Grade Catering Fabrication,Machinery Manufacturing,Manufacturing
Commercial Kitchens,Building Construction,Construction
"Commercial Photographer, Advertising Photography",Photography,Professional Services
Commercial Poultry,Farming,"Farming, Ranching, Forestry"
Commercial Property,Real Estate,Real Estate and Equipment Rental Services
Commercial Property Agents,Real Estate,Real Estate and Equipment Rental Services
Commercial Recruitment,Staffing and Recruiting,Administrative and Support Services
Commercial Refrigeration,"Appliances, Electrical, and Electronics Manufacturing",Manufacturing
Commercial Schools & Colleges,Primary and Secondary Education,Education
Commercial Truck Components,Transportation Equipment Manufacturing,Manufacturing
Commercial Vehicle Bodybuilders & Repairers,Transportation Equipment Manufacturing,Manufacturing
Commercial Vehicle Breakdown & Recovery Services,Repair and Maintenance,Consumer Services
Commercial Vehicle Component Manufacturers,Transportation Equipment Manufacturing,Manufacturing
Commercial Vehicle Dealers,Retail Motor Vehicles,Retail
Commercial Vehicle Security And Alarms,Security and Investigations,Administrative and Support Services
"Commercial Vehicle Servicing, Repairs, Parts & Accessories",Repair and Maintenance,Consumer Services
Commissioning Support,Business Consulting and Services,Professional Services
Committees And Panels,Civic and Social Organizations,Consumer Services
Commodity Brokers/stock Brokers,Capital Markets,Financial Services
Common Carrier,Freight and Package Transportation,"Transportation, Logistics, Supply Chain and Storage"
Community Business,Civic and Social Organizations,Consumer Services
Community Centres,Civic and Social Organizations,Consumer Services
Community Development,Housing and Community Development,Government Administration
Community Energy,Electric Power Generation,Utilities
Community Engagement,Civic and Social Organizations,Consumer Services
Community Networks,"Technology, Information and Internet","Technology, Information and Media"
Community Service Projects,Civic and Social Organizations,Consumer Services
Companion Animal Health,Veterinary Services,Professional Services
Company Formations,Legal Services,Professional Services
Company Registration Agents,Legal Services,Professional Services
Comparison Websites,Online and Mail Order Retail,Retail
Compensation Claims,Legal Services,Professional Services
Competent Person Service,Engineering Services,Professional Services
Complaint Management,Business Consulting and Services,Professional Services
Complementary And Alternative Medicine (cam),Medical Practices,Hospitals and Health Care
Complex Trauma Rehabilitation,Health and Human Services,Government Administration
Compliance Management System,IT Services and IT Consulting,Professional Services
Component Design,Engineering Services,Professional Services
Compostable Packaging,Paper and Forest Product Manufacturing,Manufacturing
Comprehensive Manufacturing Capability,Machinery Manufacturing,Manufacturing
Computer & Electronics Recycling And Disposal,Computers and Electronics Manufacturing,Manufacturing
Computer & Telephone Cleaning Services,Repair and Maintenance,Consumer Services
Computer Aided Design,Design Services,Professional Services
Computer Bureau & Facilities Management,IT Services and IT Consulting,Professional Services
Computer Consultants,IT Services and IT Consulting,Professional Services
Computer Consumables & Stationery,Retail Office Supplies and Gifts,Retail
